time[s],azimth[deg],elevation[deg],,,
273,95.657042,-6.926229,,,
274,95.648826,-6.926229,,,
275,95.657042,-6.926229,,,
276,95.665258,-6.926229,,,
277,95.657042,-6.926229,,,
278,95.730986,-6.926229,,,
279,95.730986,-6.926229,,,
280,95.698122,-6.926229,,,
281,95.698122,-6.926229,,,
282,95.68169,-6.926229,,,
283,95.673474,-6.926229,,,
284,95.689906,-6.926229,,,
285,95.714554,-6.926229,,,
286,95.714554,-6.926229,,,
287,95.72277,-6.926229,,,
288,95.714554,-6.926229,,,
289,95.68169,-6.926229,,,
290,95.68169,-6.926229,,,
291,95.714554,-7.038934,,,
292,95.714554,-6.813525,,,
293,95.714554,-7.038934,,,
294,95.714554,-7.264344,,,
295,95.714554,-6.47541,,,
296,95.714554,-6.813525,,,
297,95.730986,-7.264344,,,
298,95.878873,-7.038934,,,
299,95.903521,-6.813525,,,
300,95.928169,-6.926229,,,
301,95.862441,-6.700819,,,
302,95.862441,-6.700819,,,
303,95.862441,-7.264344,,,
304,95.862441,-6.588115,,,
305,95.862441,-6.813525,,,
306,95.862441,-7.151639,,,
307,95.870657,-7.264344,,,
308,95.862441,-7.151639,,,
309,95.862441,-7.489754,,,
310,95.862441,-7.489754,,,
311,95.862441,-7.489754,,,
312,95.862441,-7.489754,,,
313,95.862441,-7.489754,,,
314,95.854225,-7.264344,,,
315,95.854225,-7.264344,,,
316,95.862441,-7.151639,,,
317,95.788498,-7.151639,,,
318,95.714554,-7.038934,,,
319,95.665258,-6.700819,,,
320,95.714554,-6.25,,,
321,95.903521,-6.362705,,,
322,95.624178,-6.588115,,,
323,95.320188,-6.137295,,,
324,95.270892,-6.588115,,,
325,95.385915,-6.362705,,,
326,95.451643,-6.362705,,,
327,95.418779,-6.588115,,,
328,95.410563,-6.813525,,,
329,95.410563,-6.25,,,
330,95.3777,-6.25,,,
331,95.353052,-6.25,,,
332,95.344836,-6.137295,,,
333,95.369484,-6.25,,,
334,95.361268,-6.588115,,,
335,95.180516,-6.362705,,,
336,95.164085,-6.588115,,,
337,95.139437,-6.588115,,,
338,95.081925,-6.47541,,,
339,95.098357,-6.362705,,,
340,95.542019,-6.47541,,,
341,95.484507,-6.362705,,,
342,95.106573,-6.47541,,,
343,95.073709,-6.362705,,,
344,94.383568,-6.926229,,,
345,93.7016432,-6.700819,,,
346,93.4880282,-7.264344,,,
347,93.5126761,-7.377049,,,
348,93.1922535,-7.264344,,,
349,93.1758216,-6.813525,,,
350,93.1676056,-6.926229,,,
