time[s],PITCH[deg],YAW[deg],ROLL[deg]
248,-6.926229,2.724178,0.268595
249,-6.926229,2.757042,0.2479339
250,-6.813525,2.715962,6.20E-02
251,-7.038934,2.715962,-2.07E-02
252,-6.926229,2.74061,-8.26E-02
253,-6.926229,2.732394,-0.2066116
254,-6.926229,2.74061,-0.3305785
255,-6.926229,2.765258,-0.5371901
256,-6.926229,2.748826,-0.661157
257,-6.926229,2.732394,-0.5991735
258,-6.926229,2.757042,-0.6404959
259,-6.926229,2.765258,-0.5578513
260,-6.926229,2.732394,-0.5578513
261,-6.926229,2.773474,-0.5578513
262,-6.926229,2.757042,-0.5371901
263,-6.926229,2.757042,-0.5991735
264,-6.926229,2.732394,-0.6404959
265,-6.926229,2.74061,-0.6818182
266,-6.926229,2.74061,-0.661157
267,-6.926229,2.74061,-0.661157
268,-6.926229,2.732394,-0.661157
269,-6.926229,2.74061,-0.5991735
270,-6.926229,2.74061,-0.4132231
271,-6.926229,2.74061,-0.2892562
272,-6.926229,2.773474,-0.268595
273,-6.926229,2.757042,-0.1859504
274,-6.926229,2.748826,-0.1859504
275,-6.926229,2.757042,-0.2066116
276,-6.926229,2.765258,-0.3099174
277,-6.926229,2.757042,-0.4545455
278,-6.926229,2.830986,-0.5785124
279,-6.926229,2.830986,-0.5578513
280,-6.926229,2.798122,-0.661157
281,-6.926229,2.798122,-0.5991735
282,-6.926229,2.78169,-0.6818182
283,-6.926229,2.773474,-0.5991735
284,-6.926229,2.789906,-0.4752066
285,-6.926229,2.814554,-0.5371901
286,-6.926229,2.814554,-0.5371901
287,-6.926229,2.82277,-0.5578513
288,-6.926229,2.814554,-0.6818182
289,-6.926229,2.78169,-0.6198347
290,-6.926229,2.78169,-0.6198347
291,-7.038934,2.814554,-0.6198347
292,-6.813525,2.814554,-0.6198347
293,-7.038934,2.814554,-0.5991735
294,-7.264344,2.814554,-0.6818182
295,-6.47541,2.814554,-0.7024794
296,-6.813525,2.814554,-0.6818182
297,-7.264344,2.830986,-0.6198347
298,-7.038934,2.978873,-0.5785124
299,-6.813525,3.003521,-0.5165289
300,-6.926229,3.028169,-0.5165289
301,-6.700819,2.962441,-0.3099174
302,-6.700819,2.962441,-0.3099174
303,-7.264344,2.962441,-0.1033058
304,-6.588115,2.962441,0
305,-6.813525,2.962441,0.392562
306,-7.151639,2.962441,0.5578513
307,-7.264344,2.970657,0.661157
308,-7.151639,2.962441,0.8884298
309,-7.489754,2.962441,0.9504132
310,-7.489754,2.962441,1.033058
311,-7.489754,2.962441,1.136364
312,-7.489754,2.962441,1.157025
313,-7.489754,2.962441,1.157025
314,-7.264344,2.954225,0.8057851
315,-7.264344,2.954225,0.7438017
316,-7.151639,2.962441,0.6198347
317,-7.151639,2.888498,0.5165289
318,-7.038934,2.814554,0.1446281
319,-6.700819,2.765258,-2.07E-02
320,-6.25,2.814554,-0.2066116
321,-6.362705,3.003521,-0.5578513
322,-6.588115,2.724178,-0.5371901
323,-6.137295,2.420188,-0.661157
324,-6.588115,2.370892,-0.6818182
325,-6.362705,2.485915,-0.6818182
326,-6.362705,2.551643,-0.5991735
327,-6.588115,2.518779,-0.5991735
328,-6.813525,2.510563,-0.5991735
329,-6.25,2.510563,-0.5991735
330,-6.25,2.4777,-0.5991735
331,-6.25,2.453052,-0.5991735
332,-6.137295,2.444836,-0.4752066
333,-6.25,2.469484,-0.4338843
334,-6.588115,2.461268,-0.2892562
335,-6.362705,2.280516,-0.1859504
336,-6.588115,2.264085,-0.1446281
337,-6.588115,2.239437,-2.07E-02
338,-6.47541,2.181925,-4.13E-02
339,-6.362705,2.198357,2.07E-02
340,-6.47541,2.642019,-4.13E-02
341,-6.362705,2.584507,0.1859504
342,-6.47541,2.206573,0.268595
343,-6.362705,2.173709,0.2066116
344,-6.926229,1.483568,0.3305785
345,-6.700819,0.8016432,0.3099174
346,-7.264344,0.5880282,0.4752066
347,-7.377049,0.6126761,0.4545455
348,-7.264344,0.2922535,0.6404959
349,-6.813525,0.2758216,0.7231405
350,-6.926229,0.2676056,0.7438017
