event,time,mass,thrust,lat,lon,alt,x(ECI),y(ECI),z(ECI),vx(ECI),vy(ECI),vz(ECI),vx(NED),vy(NED),vz(NED),ax(ECI),ay(ECI),az(ECI),ax(BODY),ay(BODY),az(BODY),Isp,Mach,YAW,PITCH,aoa(alpha),aoa(beta),aoa(gamma),Q,airforce_x(BODY),airforce_y(BODY),airforce_z(BODY),thrust_x(BODY),thrust_y(BODY),thrust_z(BODY),gimbal_pitch,gimbal_yaw,wind_speed,wind_direction,downrange,latIIP,lonIIP,dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial_velocity,kinematic_energy(NED),loss_gravity,loss_aerodynamics,loss_thrust,flight_mode,separated
,356.0,3811.20238160237,0.0,30.25556770330115,142.70785086836432,225653.62640692573,-4630048.172389786,3339880.1597586516,3308574.6678926134,-4663.360730477889,-5726.926015425013,-1016.7031018751188,-1095.7107896779075,6956.503504468664,139.41006326992954,6.423127188831078,-4.633315738742,-4.619757078782169,-1.1534332420516806e-11,-1.1683766158899618e-12,1.1356524879181674e-12,0.0,25.805530830214025,93.1552817,-6.757173999999907,-5.622109942369741,5.7844693924989,8.04006992572938,1.1648742897365467e-09,-1.1648742897365466e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1118939.39474876,27.55882610046014,156.65294697905472,-0.5199893036660378,-0.3758159105071699,0.7670550993785101,-0.8475075392446408,0.33896268845159194,-0.4084547303694287,-0.10649927228109538,-0.862477070563233,-0.4947637898596271,7455.085518496709,94542512430.97498,0.0,3.0564482625212635e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,357.0,3811.20238160237,0.0,30.246001679433046,142.77766162104695,225513.83554510307,-4634708.32039623,3334150.9183502644,3307555.6550896047,-4656.9341222548765,-5731.555536156579,-1021.3223264916743,-1100.5304243129035,6955.913509203534,140.1716628764674,6.430088118660501,-4.625724582977741,-4.618691174886281,-1.1832658242479045e-11,-1.206541796180252e-12,1.1643211820354808e-12,0.0,25.806189573598342,93.1552817,-6.757173999999907,-5.615858192053024,5.823889637592264,8.063822655322072,1.1950757502262803e-09,-1.1950757502262803e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1125746.648476583,27.54348152720413,156.71018246468446,-0.5188800094727487,-0.3761364171047904,0.7676489637178774,-0.8481887029759401,0.33839300096833563,-0.4075120869859402,-0.1064869001969383,-0.8625610544322153,-0.4946200233140912,7455.257445567517,94547447460.49608,0.0,3.1356921794424007e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,358.0,3811.20238160237,0.0,30.23639346181748,142.84746114516756,225373.28310225625,-4639362.038315125,3328417.0512178685,3306532.023595913,-4650.500556523309,-5736.177462297177,-1025.940482258609,-1105.3478219534256,6955.321418423028,140.93322490902904,6.437042196098433,-4.618126551590803,-4.617619373368519,-1.2140351889657579e-11,-1.2471327157477737e-12,1.1920698125927118e-12,0.0,25.80685193175074,93.1552817,-6.757173999999907,-5.609605838039809,5.863291645092593,8.087688275780788,1.226231223835836e-09,-1.2262312238358359e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1132554.206000598,27.528115277201646,156.76738207346816,-0.5177699275145907,-0.3764554855035619,0.7682418692025402,-0.8488683580401408,0.3378227463888869,-0.40656893971441677,-0.10647447055407497,-0.8626453845332666,-0.4944756087651666,7455.430314902426,94552409565.05164,0.0,3.217439277838305e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,359.0,3811.20238160237,0.0,30.226743066885252,142.91724940191665,225231.9691172596,-4644009.319192399,3322678.5659594974,3305503.774483342,-4644.060040165194,-5740.79178695554,-1030.5575632597515,-1110.1629744246327,6954.727237666073,141.69474674741866,6.4439893618300825,-4.610521613300531,-4.616541637102331,-1.2457952734117608e-11,-1.2877720831194957e-12,1.2220523083174733e-12,0.0,25.807517904675585,93.1552817,-6.757173999999907,-5.603352896656138,5.902675347688935,8.111665505566746,1.2583743757363428e-09,-1.2583743757363427e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1139362.0689908487,27.51272740171467,156.82454581408177,-0.5166590605405703,-0.3767731142557186,0.7688338152913037,-0.8495465032979559,0.3372519284685607,-0.4056252894956785,-0.1064619833346691,-0.8627300604002877,-0.49433054628068923,7455.604126499425,94557398746.09734,0.0,3.301777889861823e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,360.0,3811.20238160237,0.0,30.21705051112411,142.98702635260008,225089.893631652,-4648650.156080892,3316935.470180092,3304470.908829632,-4637.612580122098,-5745.398503209149,-1035.1735635417265,-1114.9758735704809,6954.130972486791,142.4562256980613,6.4509295560584565,-4.602909736886652,-4.615457928810919,-1.2785738360366847e-11,-1.3307781273882692e-12,1.2529854943392888e-12,0.0,25.808187492358304,93.1552817,-6.757173999999907,-5.597099384847832,5.942040678193849,8.135753072836469,1.2915401684541736e-09,-1.2915401684541735e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1146170.2391175637,27.49731795187238,156.88167369566648,-0.5155474113006072,-0.3770893019238721,0.769424801443136,-0.850223137617323,0.33668055096469424,-0.4046811372701526,-0.10644943852081495,-0.8628150815653819,-0.494184835928751,7455.778880351601,94562415004.95844,0.0,3.388799751723398e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,361.0,3811.20238160237,0.0,30.207315811078654,143.05679195863948,224947.05668969546,-4653284.542040415,3311187.7714915313,3303433.4277184946,-4631.1581833956125,-5749.997604104303,-1039.7884771138156,-1119.7865112537493,6953.532628454343,143.21765899364868,6.45786271853209,-4.595290891211718,-4.614368211088365,-1.3123607978376165e-11,-1.375404317319407e-12,1.285342919820808e-12,0.0,25.80886069476494,93.1552817,-6.757173999999907,-5.590845320183604,5.981387569543962,8.159949715476271,1.325764915512754e-09,-1.325764915512754e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1152978.7180512417,27.481886978669575,156.9387657278303,-0.5144349825455082,-0.3774040470810124,0.7700148271171638,-0.8508982598734042,0.33610861763661376,-0.4037364839778755,-0.10643683609453751,-0.8629004475588581,-0.4940384777777,7455.954576447014,94567458342.82635,0.0,3.4786001444388096e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,362.0,3811.20238160237,0.0,30.197538983350185,143.1265461815723,224803.4583384581,-4657912.470137809,3305435.477512664,3302391.33223965,-4624.6968570477975,-5754.589082656215,-1044.402297947839,-1124.5948793560517,6952.932211152752,143.97904379283136,6.464788788573769,-4.587665045243926,-4.613272446421316,-1.3472250641826105e-11,-1.4211697690160682e-12,1.3166359126489604e-12,0.0,25.809537511841604,93.1552817,-6.757173999999907,-5.584590720857786,6.0207159548004325,8.184254181131903,1.3610863374228575e-09,-1.3610863374228575e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1159787.5074626175,27.466434532964925,156.99582192065023,-0.5133217770269424,-0.37771734831050846,0.7706038917726669,-0.8515718689485808,0.3355361322456019,-0.4027913305584951,-0.10642417603779278,-0.8629861579092332,-0.4938914718961414,7456.131214768567,94572528760.75464,0.0,3.571278040738961e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,363.0,3811.20238160237,0.0,30.187720044596528,143.1962889830524,224659.0986278914,-4662533.933447011,3299678.5958693386,3301344.6234888663,-4618.228608201589,-5759.172931849131,-1049.0150199780594,-1129.4009697778697,6952.329726180758,144.7403771799212,6.471707705110403,-4.580032168080376,-4.612170597211277,-1.3831880736953319e-11,-1.4692671790801843e-12,1.3507933037479033e-12,0.0,25.810217943514008,93.1552817,-6.757173999999907,-5.578335605692996,6.060025767149539,8.208665227233828,1.397543620136736e-09,-1.3975436201367359e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1166596.6090226215,27.45096066547916,157.0528422846743,-0.5122077974974127,-0.37802920420611064,0.7711919948690754,-0.8522439637324554,0.3349630985548641,-0.40184567795127213,-0.10641145833246793,-0.863072212143236,-0.49374381835293735,7456.308795293872,94577626259.6558,0.0,3.666936258444394e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,364.0,3811.20238160237,0.0,30.177859011531968,143.26602032485007,224513.97761089634,-4667148.9250491075,3293917.134194434,3300293.3025679956,-4611.753444041183,-5763.749144636464,-1053.6266371011072,-1134.2047744385568,6951.725179151647,145.5016561646887,6.478619406703922,-4.572392228970752,-4.611062625797528,-1.4204209972257594e-11,-1.5177241132655884e-12,1.3865372911925887e-12,0.0,25.810901989686997,93.1552817,-6.757173999999907,-5.572079994142024,6.099316939903102,8.233181621017616,1.4351774760818325e-09,-1.4351774760818325e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1173406.0244024163,27.43546542679373,157.10982683092237,-0.5110930467102335,-0.3783396133719497,0.7717791358659642,-0.8529145431218458,0.33438952032949654,-0.4008995270950839,-0.10639868296038164,-0.8631586097858103,-0.49359551721720835,7456.487317995143,94582750840.29749,0.0,3.765681620608221e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,365.0,3811.20238160237,0.0,30.167955900927023,143.33574016885245,224368.09534340072,-4671757.438032403,3288151.100127893,3299237.3705850127,-4605.2713718123805,-5768.317713940967,-1058.2371431759316,-1139.0062852763645,6951.118575693092,146.26287768215184,6.4855238315833095,-4.564745197341385,-4.609948494480607,-1.4587853556116753e-11,-1.568489311888312e-12,1.4215793794310673e-12,0.0,25.811589650244034,93.1552817,-6.757173999999907,-5.565823906289785,6.138589406499024,8.257802139540349,1.4740302078880326e-09,-1.4740302078880327e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1180215.7552734097,27.41994886734907,157.1667755708876,-0.5099775274195016,-0.37864857442253846,0.7723653142230501,-0.8535836060207854,0.33381540133645254,-0.39995287892842557,-0.10638584990328427,-0.8632453503601178,-0.49344656855833274,7456.666782839049,94587902503.29886,0.0,3.867625122726482e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,366.0,3811.20238160237,0.0,30.1580107296084,143.40544847706374,224221.45188443456,-4676359.465492478,3282380.501316749,3298176.828654052,-4598.782398822908,-5772.878632654916,-1062.8465320237724,-1143.8054942484555,6950.509921446983,147.024038592461,6.492420917677665,-4.557091042819711,-4.608828165546405,-1.498331387599707e-11,-1.6221239157548101e-12,1.4588102695635585e-12,0.0,25.81228092504675,93.1552817,-6.757173999999907,-5.559567362854501,6.17784310050176,8.282525569692492,1.5141457749369685e-09,-1.5141457749369684e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1187025.8033071721,27.404411037443342,157.22368851653715,-0.5088612423800726,-0.37895608598277214,0.7729505294001854,-0.8542511513405182,0.3332407453445101,-0.3990057343894126,-0.10637295914285809,-0.8633324333875412,-0.49329697244594833,7456.847189786603,94593081249.12715,0.0,3.9728821073531275e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,367.0,3811.20238160237,0.0,30.148023514458743,143.47514521160545,224074.04729620647,-4680955.000532251,3276605.345415159,3297111.677895446,-4592.286532442698,-5777.431893640325,-1067.4547974281584,-1148.6023933309202,6949.899222069268,147.7851356807895,6.499310602650418,-4.549429735259116,-4.607701601290838,-1.5393071705290848e-11,-1.6763652183633415e-12,1.4966071190313383e-12,0.0,25.812975813934408,93.1552817,-6.757173999999907,-5.553310385188823,6.217077955602807,8.307350708205892,1.5555698628639406e-09,-1.5555698628639407e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1193836.1701755293,27.388851987230915,157.28056568031278,-0.5077441943475343,-0.37926214668792824,0.7735347808573559,-0.8549171779994978,0.3326655561242392,-0.39805809441578416,-0.10636001066071751,-0.8634198583876879,-0.4931467289499516,7457.028538793029,94598287078.09381,0.0,4.081572446462215e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,368.0,3811.20238160237,0.0,30.13799427241659,143.5448303347167,223925.8816441791,-4685544.036262043,3270825.6400844334,3296041.9194357614,-4585.783780104139,-5781.977489729185,-1072.0619331349299,-1153.3969745187894,6949.286483229801,148.54616565730578,6.5061928239345646,-4.541761244764136,-4.606568764045101,-1.5815035136596134e-11,-1.7336599134545875e-12,1.5352008211909173e-12,0.0,25.813674316723514,93.1552817,-6.757173999999907,-5.54705299528032,6.2562939056211375,8.332276361657616,1.5983499561509262e-09,-1.598349956150926e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1200646.857550459,27.373271766721096,157.33740707513104,-0.5066263860781824,-0.3795667551836674,0.774118068054675,-0.8555816849233846,0.3320898374479694,-0.39710995994490483,-0.10634700443840944,-0.8635076248783928,-0.4929958381404996,7457.210829807642,94603519990.3517,0.0,4.19382073192062e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,369.0,3811.20238160237,0.0,30.127923020476196,143.61450380875448,223776.95499713812,-4690126.565799637,3265041.392993065,3294967.5544078387,-4579.274149302283,-5786.51541372373,-1076.6679328522866,-1158.1892298260518,6948.671710612152,149.30712515716937,6.513067518769094,-4.534085541716043,-4.60542961620154,-1.6251116119961093e-11,-1.7932154494069819e-12,1.5772209398172412e-12,0.0,25.81437643320723,93.1552817,-6.757173999999907,-5.540795215751742,6.295490884503729,8.357301346470145,1.6425354139567765e-09,-1.6425354139567766e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1207457.8671041653,27.357670425777,157.39421271438326,-0.505507820328993,-0.37986991012603305,0.7747003904523799,-0.8562446710450407,0.33151359308975614,-0.3961613319137669,-0.10633394045741339,-0.8635957323757216,-0.49284430008800967,7457.394062773725,94608779985.89044,0.0,4.309756474454642e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,370.0,3811.20238160237,0.0,30.117809775687395,143.68416559619388,223627.26742727403,-4694702.582270344,3259252.6118167597,3293888.583950829,-4572.757647595029,-5791.04565839672,-1081.2727902508625,-1162.9791512856646,6948.054909913477,150.06801074059683,6.519934624236399,-4.526402596798737,-4.604284120240021,-1.6701533000186365e-11,-1.854023159222383e-12,1.6173443851591382e-12,0.0,25.815082163155026,93.1552817,-6.757173999999907,-5.534537069860733,6.33466882632596,8.38242448890766,1.6881775493306786e-09,-1.6881775493306785e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1214269.200509044,27.34204801411431,157.45098261193496,-0.5043884998575989,-0.3801716101814517,0.775281747510828,-0.8569061353045299,0.3309368268253497,-0.3952122112589937,-0.10632081869914176,-0.8636841803939741,-0.49269211486316017,7457.578237628409,94614067064.53416,0.0,4.429514311493756e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,371.0,3811.20238160237,0.0,30.107654555155428,143.75381565962834,223476.81901025493,-4699272.078807064,3253459.304238464,3292805.0092102317,-4566.234282603254,-5795.568216491764,-1085.8764989638257,-1167.766730949566,6947.436086844324,150.82881889297153,6.526794077300868,-4.518712381025011,-4.60313223875495,-1.7166500021006274e-11,-1.9174847380804687e-12,1.661679992912106e-12,0.0,25.81579150631211,93.1552817,-6.757173999999907,-5.528278581499189,6.373827665292078,8.407644625068812,1.735329711974168e-09,-1.735329711974168e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1221080.859437665,27.326404581300327,157.5077167821254,-0.5032684274222635,-0.38047185402673245,0.7758621386904911,-0.8575660766491123,0.3303595424321612,-0.394262598916841,-0.10630763914494008,-0.8637729684456871,-0.49253928253689094,7457.763354302543,94619381225.93712,0.0,4.553234224325215e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
,372.0,3811.20238160237,0.0,30.097457376040886,143.82345396176993,223325.60982530098,-4703835.04855035,3247661.477948397,3291716.831337931,-4559.704062010911,-5800.083080723661,-1090.4790525870083,-1172.5519608886875,6946.815247128491,151.5895460250157,6.5336458148485095,-4.511014865763122,-4.601973934482795,-1.7647137667858557e-11,-1.9832693477757848e-12,1.706285889746287e-12,0.0,25.81650446239905,93.1552817,-6.757173999999907,-5.5220197751921,6.412967335735632,8.432960600876006,1.7840473747154127e-09,-1.7840473747154127e-11,0.0,0.0,0.0,0.0,0.0,,,30.0,90.0,1227892.845562765,27.31074017675289,157.5644152397663,-0.5021476057818554,-0.38077064034906694,0.7764415634519523,-0.8582244940332419,0.3297817436892312,-0.39331249582320177,-0.10629440177608733,-0.8638620960416378,-0.4923858031804044,7457.949412720593,94624722469.58086,0.0,4.681061764989067e-15,0.0,FlightMode.Free_Ballistic,"[340.0, <rocket_state.StateQuantity object at 0x00000204702E41C0>]"
